turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
45,C2,hit,"3,9",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 1, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
46,A4,hit,"9,1",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
47,H10,miss,"1,0",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
48,I5,hit,"8,6",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
49,H5,hit,"8,2",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 2, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 0, 0, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
50,I7,miss,"1,3",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 0, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 2, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 3, 0, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
51,I8,miss,"2,5",hit,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 0, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 2, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
52,G10,miss,"1,2",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 3, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 3], [-1, 2, 3, 3, 2, 3, 0, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
53,H7,miss,"6,5",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 3, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 3, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 3], [-1, 2, 3, 3, 2, 3, 3, 3, 0, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
54,H9,miss,"6,1",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [3, 0, 3, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 3, 3, 0, 3, 3, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 3], [-1, 2, 3, 3, 2, 3, 3, 3, 3, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 0], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
55,I10,miss,"0,7",hit,"[[2, 1, 2, 1, 3, 2, 1, 2, -1, 2], [3, 0, 3, 3, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 3, 3, 0, 3, 3, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 3], [-1, 2, 3, 3, 2, 3, 3, 3, 3, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 3], [3, -1, -1, -1, 3, -1, 3, 1, 3, 3]]"
56,J8,hit,"2,4",hit,"[[2, 1, 2, 1, 3, 2, 1, 2, -1, 2], [3, 0, 3, 3, 3, 3, -1, 0, -1, -1], [2, 1, 1, 3, 2, 2, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 3], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 3, 3, 0, 3, 3, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 3, 3, 0, 3, 3, 3, 0, 3], [0, 3, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, -1, 3, 2, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 3], [-1, 2, 3, 3, 2, 3, 3, 3, 3, 3], [-1, 2, -1, 3, 2, 3, 3, 3, 3, 3], [3, -1, -1, -1, 3, -1, 3, 2, 3, 3]]"
