turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
35,J7,miss,"5,9",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [1, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 0, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 0, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 0, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, 0, 1, 1], [0, 1, 0, -1, -1, -1, -1, -1, -1, 0], [3, 1, 0, -1, 2, 2, 2, 2, 3, 1], [-1, -1, -1, -1, -1, -1, -1, -1, -1, 0], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 0], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 0, 3]]"
36,J9,miss,"5,1",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [1, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 0, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 0, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, 0, 1, 1], [0, 1, 0, -1, -1, -1, -1, -1, -1, 0], [3, 1, 0, -1, 2, 2, 2, 2, 3, 1], [-1, -1, -1, -1, -1, -1, -1, -1, -1, 0], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 0], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
37,A10,hit,"9,2",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [1, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 0, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 0, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, 0, 1, 2], [0, 1, 0, -1, -1, -1, -1, -1, -1, 0], [3, 1, 0, -1, 2, 2, 2, 2, 3, 1], [-1, -1, -1, -1, -1, -1, -1, -1, -1, 0], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 0], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
38,A9,hit,"3,1",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [1, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 0, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 1, 0, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 1], [-1, -1, -1, -1, -1, -1, -1, -1, -1, 0], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 0], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
39,C10,hit,"6,7",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [1, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 1, 0, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 0], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
40,E10,miss,"2,0",hit,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [2, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 0], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 1, 0, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 0], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
41,F10,miss,"6,9",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [2, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [1, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 1, 0, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
42,B2,hit,"4,0",hit,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 0, 3, 0, 0, -1, -1], [2, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 2, 0, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
43,B3,miss,"1,4",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 0, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [0, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
44,B1,miss,"2,3",miss,"[[2, 1, 2, 1, 3, 2, 1, 1, -1, 2], [0, 0, 0, 0, 3, 3, 0, 0, -1, -1], [2, 1, 1, 3, 1, 1, 3, 1, 1, 3], [3, 3, -1, -1, -1, 3, 3, 3, 3, 0], [2, 1, -1, 2, -1, 1, -1, 2, -1, 0], [0, 3, -1, -1, -1, 3, -1, 3, -1, 3], [0, 0, 3, 0, 3, 0, 3, 3, 3, 3], [0, 0, 0, 3, 0, 0, 3, 0, 3, 3], [3, 0, 0, 3, 0, 3, 0, 3, 0, 3], [0, 0, 3, 3, 0, 0, 3, 0, 3, 3]]","[[3, 0, 3, 1, 3, 0, 3, -1, 2, 2], [3, 2, 3, -1, -1, -1, -1, -1, -1, -1], [3, 1, 0, -1, 2, 2, 2, 2, 3, 2], [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 3, 3, -1, -1, -1, 3], [-1, -1, -1, -1, -1, 3, -1, 2, -1, 3], [3, 2, -1, 3, 3, 3, -1, -1, -1, 0], [-1, 2, 3, 3, 1, 3, 0, 3, 0, 0], [-1, 2, -1, 3, 1, 3, 0, 0, 3, 0], [3, -1, -1, 0, 3, 0, 3, 1, 3, 3]]"
